Date,Close,High,Low,Open,Volume,Stock,Adj Close,MA20,Return,Volatility,FutureReturn,Score
2018-01-30,131.0822296142578,133.13038746818322,130.25016273930424,130.47418412477188,7323876,ONGC.NS,,127.81316871643068,-0.0017058123822525,0.0170704283611367,-0.0944824025781653,-0.1030176167587336
2018-01-31,130.2181396484375,130.9542028336165,127.24191176119488,129.93011917005688,11990243,ONGC.NS,,128.02438354492188,-0.0065919687845035,0.0165184892797514,-0.0661093375467658,-0.0743685821866416
2018-02-01,124.74573516845705,132.52234815892777,124.16969410237216,130.60219825012825,10015459,ONGC.NS,,128.07078742980957,-0.0420249014058627,0.0187918274471482,-0.0318114122886563,-0.0412073260122305
2018-02-02,123.33761596679688,126.56986997246848,120.32938333665776,124.16968280484896,12239774,ONGC.NS,,127.85317001342771,-0.0112879145708559,0.0174933372804548,-0.0277635161165569,-0.0365101847567843
2018-02-05,120.80943298339844,123.17761594158355,120.3293955013452,123.14561148950251,7607002,ONGC.NS,,127.54274673461914,-0.0204980691703903,0.0179865740768016,0.011920503369365,0.0029272163309642
2018-02-06,118.697265625,119.68934503714152,115.27300412681804,116.48909516983828,5935676,ONGC.NS,,127.16031646728516,-0.0174834638838896,0.0182955044300057,0.001617378914156,-0.0075303733008468
2018-02-07,121.60950469970705,122.56957973680998,119.68935462550112,120.36140910475086,8644010,ONGC.NS,,126.9363006591797,0.0245350140070426,0.0193030424757989,-0.0089476518264165,-0.018599173064316
2018-02-08,120.77739715576172,122.63354746400935,120.32936424217957,121.6094638617772,4540513,ONGC.NS,,126.6418758392334,-0.0068424548393652,0.019278789453945,-0.0095389069289193,-0.0191783016558918
2018-02-09,119.913330078125,121.73746608959918,118.1531931847606,119.9453247539876,7314145,ONGC.NS,,126.30424766540528,-0.007154211781219,0.0193021562863516,-0.0109417151059217,-0.0205927932490976
2018-02-12,122.24954223632812,124.48971709406187,121.83351366930393,122.88959219568063,14960914,ONGC.NS,,125.99222450256347,0.0194825058788798,0.0195687535946701,-0.0209423139475465,-0.0307266907448815
2018-02-14,118.88924407958984,122.889555118607,117.96117387181474,122.24950535236424,4960527,ONGC.NS,,125.64499626159667,-0.0274872044121219,0.0199608159999456,0.0236879799725995,0.0137075719726267
2018-02-15,120.5213851928711,120.9694181215256,118.40921879620232,119.75332734855118,5046557,ONGC.NS,,125.36017379760742,0.013728248723565,0.0202616960679569,-0.0116836263439991,-0.0218144743779776
2018-02-16,119.62531280517578,121.16143830175488,119.36929677227208,120.0733555123357,4167034,ONGC.NS,,125.07855033874512,-0.007434965888098,0.0202592865374505,0.015516537518442,0.0053868942497167
2018-02-19,118.6012725830078,119.94537178697637,116.3931019314686,119.94537178697637,4265576,ONGC.NS,,124.79693069458008,-0.0085603974456122,0.020265531324719,0.0272531142198166,0.0171203485574571
2018-02-20,119.6893539428711,120.6494289744984,118.28124584976204,118.9212958708469,5328584,ONGC.NS,,124.58251609802248,0.0091742806478045,0.0204224360602718,0.0080212657851521,-0.0021899522449837
2018-02-21,121.70549011230467,122.12152842605347,118.21721995197288,120.32938667128884,4651807,ONGC.NS,,124.24488792419432,0.0168447410151106,0.0189505429594637,-0.0097292646234852,-0.019204536103217
2018-02-22,119.1132583618164,120.58536492402963,118.56921218612278,120.00932407502306,8629189,ONGC.NS,,123.56483306884766,-0.0212992178750216,0.0174055058620534,0.0193446073966914,0.0106418544656646
2018-02-23,121.48148345947266,122.1535378657612,119.36931665387463,119.72134608253886,4880302,ONGC.NS,,122.89118156433103,0.0198821284064161,0.0176180514355573,-0.0223920120687156,-0.0312010377864943
