Date,Close,High,Low,Open,Volume,Stock,Adj Close,MA20,Return,Volatility,FutureReturn,Score
2018-01-30,485.8980407714844,492.2113731905734,484.3383889993634,490.81616580696806,1043320,BAJAJFINSV.NS,,502.2792907714844,-0.0074809023735632,0.010809864744766,0.0059376053383555,0.0005326729659725
2018-01-31,479.589599609375,484.6821438741864,472.0255541523176,484.4379864173624,2201610,BAJAJFINSV.NS,,500.8404769897461,-0.0129830553588837,0.010774321684869,0.0414974249121486,0.0361102640697141
2018-02-01,502.1173400878906,506.2631204720533,475.3691111519084,479.4600868832283,3508580,BAJAJFINSV.NS,,500.5362686157226,0.0469729545779651,0.0155091324610464,0.0037412979131767,-0.0040132683173464
2018-02-02,491.8874816894531,513.0498647314683,487.4227878384571,498.39016666418297,3751600,BAJAJFINSV.NS,,499.9044387817383,-0.0203734417868278,0.0160777010278653,0.0250416781211315,0.0170028276071988
2018-02-05,490.1184387207031,497.78214771600926,474.6764236671813,479.3553779507204,2959400,BAJAJFINSV.NS,,498.8620132446289,-0.0035964382803034,0.0157451720455929,0.0645486940045145,0.056676107981718
2018-02-06,488.7831115722656,493.2079336709256,448.46145259468176,448.46145259468176,2630800,BAJAJFINSV.NS,,497.2841796875,-0.0027244989025978,0.0150022290019994,0.0579864632882016,0.0504853487872019
2018-02-07,499.4913330078125,503.8713256716383,491.0702423741741,499.1873831225062,2014350,BAJAJFINSV.NS,,496.564892578125,0.0219079202657019,0.0158118061332914,0.023603174909631,0.0156972718429853
2018-02-08,503.9959106445313,515.631011567366,495.799026189208,498.29047858211857,1545860,BAJAJFINSV.NS,,495.85582275390624,0.0090183299269546,0.0158333851597343,0.0001977603548979,-0.0077189322249692
2018-02-09,504.2051696777344,507.0603643059352,494.4237254304752,497.2839078294368,1446000,BAJAJFINSV.NS,,495.4220596313477,0.0004151998632992,0.0156948668992851,-0.0115825187275353,-0.0194299521771779
2018-02-12,521.7549438476562,522.6070619013491,502.5558281240176,507.8875421605237,1411760,BAJAJFINSV.NS,,496.3097610473633,0.0348068112453883,0.017064962427974,-0.0422408410991815,-0.0507733223131686
2018-02-14,517.1259155273438,533.1708456162315,513.4684193894541,524.2016164376407,1545470,BAJAJFINSV.NS,,497.19995880126953,-0.0088720353777118,0.0170510478958887,-0.0415398902177621,-0.0500654141657065
2018-02-15,511.2809143066406,527.29099074692,509.457184430874,518.2221278403058,1041970,BAJAJFINSV.NS,,498.0647430419922,-0.0113028588303153,0.0170754568286452,-0.0347930090231665,-0.0433307374374891
2018-02-16,504.0955810546875,518.2021530479706,501.2802276505993,515.1177641441247,884680,BAJAJFINSV.NS,,498.5299011230469,-0.0140535917748804,0.0174426812740926,-0.0076311565107198,-0.0163524971477662
2018-02-19,498.3652038574219,510.2344555681101,495.3007054361595,507.75796663928224,1469280,BAJAJFINSV.NS,,498.9193145751953,-0.0113676402107638,0.0175364979066634,0.0384341968684109,0.0296659479150792
2018-02-20,499.715576171875,503.1737132690748,495.9186052028146,501.28021555538976,1078990,BAJAJFINSV.NS,,499.12485961914064,0.0027096039290084,0.0174062332007336,0.0213489362845564,0.0126458196841896
2018-02-21,495.6445617675781,503.2982962875248,493.8158442106164,502.27680687998975,1008450,BAJAJFINSV.NS,,498.73619232177737,-0.0081466630187582,0.0171254512398468,0.0157335495888533,0.0071708239689298
2018-02-22,493.4919128417969,501.2801950447861,490.8310588577624,497.1942072530264,1234530,BAJAJFINSV.NS,,498.4235137939453,-0.0043431303232792,0.0170777378920086,0.0096025272308142,0.0010636582848098
2018-02-23,500.2487487792969,503.97099441164113,492.3109852277934,492.6249106575057,1363960,BAJAJFINSV.NS,,498.44942474365234,0.0136918878742924,0.0173704516158324,0.0035460873926795,-0.0051391384152366
2018-02-26,517.5194702148438,524.2015622941307,501.2851889759261,503.37302721338,1692300,BAJAJFINSV.NS,,499.744482421875,0.034524267132483,0.0185144662291513,-0.0408822863062665,-0.0501395194208422
2018-02-27,510.3839721679688,520.9626687558546,508.365871502171,519.0193238233219,829610,BAJAJFINSV.NS,,500.785661315918,-0.0137878832730925,0.018825149980957,-0.0556884961500843,-0.0651010711405628
2018-02-28,503.44281005859375,511.425402758001,501.3001366933128,507.2597017013593,1304850,BAJAJFINSV.NS,,501.6628997802735,-0.0135998826136544,0.0190401300082665,-0.0370370303017297,-0.046557095305863
2018-03-01,498.2306823730469,507.0504298596005,496.8952675501794,503.4727079001468,849160,BAJAJFINSV.NS,,502.594953918457,-0.0103529687611195,0.0189404230558156,-0.0066307636587306,-0.0161009751866384
2018-03-05,502.0226745605469,505.0273807756344,493.52682789604586,498.2306912787385,1141330,BAJAJFINSV.NS,,502.5902206420898,0.0076109166329116,0.0158172233622284,0.0005161614584168,-0.0073924502226974
2018-03-06,496.3620910644531,508.051996504191,493.80585850613033,505.8146467343752,868420,BAJAJFINSV.NS,,502.8139511108399,-0.0112755534419811,0.0153201969274934,0.0236413706586982,0.0159812721949514
2018-03-07,481.9614562988281,496.29728210140206,478.9567807371326,496.29728210140206,1237700,BAJAJFINSV.NS,,502.4061019897461,-0.0290123581652714,0.0166773834142186,0.0569565601988688,0.0486178684917595
2018-03-08,484.7967834472656,487.228443513819,478.3588787201964,484.73200324937983,1023510,BAJAJFINSV.NS,,502.20678558349607,0.0058828919022095,0.0167335644555289,0.0349257995542062,0.0265590173264418
2018-03-09,494.9270324707031,497.2939123138804,482.8434880081665,487.66693633372654,1400740,BAJAJFINSV.NS,,501.9785705566407,0.0208958668236285,0.0166643317744094,0.0090812737559649,0.0007491078687601
2018-03-12,502.2817993164063,506.04887418646734,495.0217032618409,498.53963288807984,1077040,BAJAJFINSV.NS,,501.8928649902344,0.0148603053847913,0.0168864983643115,-0.0151983410667991,-0.0236415902489549
2018-03-13,508.0967712402344,510.2444017314713,499.9447472774484,502.1770786242839,925700,BAJAJFINSV.NS,,502.0874450683594,0.0115771105617248,0.0170854670486889,-0.0034421235948745,-0.0119848571192189
2018-03-14,509.4123229980469,511.684526351739,503.6172023299709,507.259704492459,789750,BAJAJFINSV.NS,,501.4703140258789,0.0025891755907074,0.0150844867133917,0.0038932035211425,-0.0036490398355533
2018-03-15,501.7286987304688,512.2476035113303,500.2886319376247,509.4023539089874,822930,BAJAJFINSV.NS,,500.70045318603513,-0.0150833105535366,0.015315341076623,0.0169528618279353,0.0092951912896237
2018-03-16,499.4216003417969,506.761409250924,495.4601850127928,495.4601850127928,1782450,BAJAJFINSV.NS,,500.107487487793,-0.0045982986313313,0.0151597421639672,0.0230178379567134,0.0154379668747298
2018-03-19,494.64794921875,503.2683679418715,491.5386216693766,500.2836130052982,842920,BAJAJFINSV.NS,,499.6351058959961,-0.0095583593496554,0.0149893854070014,0.0377962990566009,0.0303016063531002
2018-03-20,506.3478393554688,507.2597194690421,492.5651377662584,492.8092952405527,1077770,BAJAJFINSV.NS,,500.0342376708985,0.0236529640023732,0.0157223404743253,0.0350531454725846,0.0271919752354219
